area	spp	yr	B var	CV
3	1	1984	504.9	116489.7648	0.675987264
3	1	1987	36	1297.19811	1.000462127
3	1	1990	172.5	29750.6331	0.999905614
3	1	1993	106.1	5912.49149	0.724719389
3	1	1996	137.1	6524.25025	0.589152671
3	1	1999	0	0	NA
3	1	2001	81.06666667	6892.137778	1.024081827
3	1	2003	131.8	8226.92781	0.688182196
3	1	2005	0	0	NA
3	1	2007	103.6	5030.69761	0.684627518
3	1	2009	0	0	NA
3	1	2011	0	0	NA
3	3	1984	6.6	43.6060021	1.000527892
3	3	1987	36.8	525.093397	0.622687948
3	3	1990	173.5	25768.99185	0.925228996
3	3	1993	290.5	7612.788491	0.300348692
3	3	1996	120.6	7294.38331	0.708185422
3	3	1999	271.5	17821.62969	0.49170415
3	3	2001	226.5666667	22839.28444	0.667029792
3	3	2003	91.1	3379.67337	0.638144437
3	3	2005	231.8	6909.409385	0.358597313
3	3	2007	161.1	9102.145759	0.59221084
3	3	2009	1121.2	237342.6822	0.434515061
3	3	2011	71	649.579683	0.358969763
3	4	1984	13.7	74.5552561	0.630258289
3	4	1987	64.7	1341.15369	0.566024192
3	4	1990	174	3231.342329	0.326694811
3	4	1993	267.8	16878.0947	0.485122186
3	4	1996	351.7	15124.4067	0.349676789
3	4	1999	466.7	43213.97856	0.44542473
3	4	2001	362.0666667	13213.75111	0.317485955
3	4	2003	422.8	26701.28332	0.386483617
3	4	2005	391.5	16554.7165	0.328646573
3	4	2007	676.2	39607.63525	0.294316283
3	4	2009	355.7	16095.6574	0.356673213
3	4	2011	331.2	14982.89305	0.369579192
3	6	1984	2624.9	682692.8936	0.314774779
3	6	1987	72405.1	452965027.2	0.293943038
3	6	1990	17664.2	80922933.37	0.509262661
3	6	1993	9280.6	19280317.51	0.473130599
3	6	1996	20026.2	164490940	0.640431142
3	6	1999	9876.5	17587023.71	0.424612824
3	6	2001	14479.9	105778062.6	0.710284343
3	6	2003	3544.6	2504457.86	0.446467275
3	6	2005	33125.4	454826845.1	0.64381622
3	6	2007	4056.9	3373252.397	0.452720454
3	6	2009	2686.2	1328628.819	0.429104915
3	6	2011	3734.5	5241254.957	0.613034871
3	7	1984	22347.9	13528309.24	0.164583026
3	7	1987	187582	1611395865	0.213998121
3	7	1990	103280.6	517895791	0.220344614
3	7	1993	89479.9	387748675.6	0.220064339
3	7	1996	131109.7	695479368.5	0.201144102
3	7	1999	106882.2	559791400.6	0.221364374
3	7	2001	105407.9667	1077819786	0.311458107
3	7	2003	75920.8	1475649455	0.505977058
3	7	2005	123564.4	905129245.3	0.243479238
3	7	2007	74480.5	158692549.3	0.169135856
3	7	2009	37460.9	42924043.3	0.17489287
3	7	2011	145245.2	1553548040	0.2713692
3	8	1984	0	0	NA
3	8	1987	405.9	74387.74041	0.671941759
3	8	1990	87.8	4916.790014	0.798631277
3	8	1993	2.7	7.09403147	0.986467522
3	8	1996	282.6	48374.0056	0.778276412
3	8	1999	187.2	9651.360943	0.524793484
3	8	2001	140.9	17025.91556	0.926070915
3	8	2003	126.6	13095.03915	0.903898561
3	8	2005	136.8	6664.699461	0.596766159
3	8	2007	136.6	7109.134237	0.61724511
3	8	2009	266	53468.75162	0.86929741
3	8	2011	32.2	357.3161121	0.587043695
3	10	1984	1430.3	198019.3595	0.311119109
3	10	1987	1822.2	353367.3253	0.326224934
3	10	1990	3285.4	1302634.25	0.347394544
3	10	1993	3675.1	1105665.483	0.286116376
3	10	1996	4593.7	2379369.683	0.335790444
3	10	1999	10941.1	20254925.44	0.411343214
3	10	2001	6408.966667	19497202.14	0.688966546
3	10	2003	3440.6	563886.0613	0.21825364
3	10	2005	5667	1466794.705	0.213713253
3	10	2007	7198.2	3277014.934	0.251486862
3	10	2009	6442.3	1214409.993	0.171057343
3	10	2011	5041.8	1342036.154	0.229771677
3	11	1984	5364	4732655.01	0.405567975
3	11	1987	26518.6	157644112.4	0.473465442
3	11	1990	27063.9	195093233	0.516096273
3	11	1993	29619.3	268061624	0.552767539
3	11	1996	14963.9	65560356.57	0.54109791
3	11	1999	8225.9	16374663.12	0.49192938
3	11	2001	17563.56667	160764783.7	0.721909483
3	11	2003	8025.3	8313938.489	0.359287516
3	11	2005	21690.7	157510783.3	0.578604195
3	11	2007	11500.7	49124778.13	0.609433083
3	11	2009	1591.5	535782.654	0.459925704
3	11	2011	18744.8	265425067	0.869140839
3	13	1984	6611.9	5803214.922	0.364341004
3	13	1987	80438.5	995675630.9	0.392278924
3	13	1990	38333.5	201789069.3	0.370570074
3	13	1993	23675.9	58459836.74	0.322940343
3	13	1996	64570	420270039.6	0.31749247
3	13	1999	20840.6	188096993.3	0.658083056
3	13	2001	34169.1	687440998.3	0.767333528
3	13	2003	7093.6	10571214.15	0.458348421
3	13	2005	21192.7	46289970.88	0.321038534
3	13	2007	19037	42070721.34	0.340715169
3	13	2009	12492.7	19558734.6	0.354008806
3	13	2011	8041	25421740.46	0.627036148
3	14	1984	18557.4	34829251.84	0.318020374
3	14	1987	42851.4	196602336.3	0.327212075
3	14	1990	12681.4	9085499.306	0.237687968
3	14	1993	19472	15474770.8	0.202023342
3	14	1996	20258.3	20532867.94	0.223677247
3	14	1999	28274.7	30393882.56	0.194982253
3	14	2001	27928.36667	21674246.88	0.166696496
3	14	2003	42023.1	81168454.01	0.214390507
3	14	2005	42567.7	69018738.88	0.195165624
3	14	2007	35125	66950869.58	0.232949498
3	14	2009	44185.2	79840211.85	0.202224614
3	14	2011	64835.1	461441570.2	0.331320397
3	15	1984	57545.4	12549066.28	0.061559501
3	15	1987	53357.6	29705169.29	0.102145615
3	15	1990	19616.4	4250023.467	0.105093621
3	15	1993	33014.4	7442530.386	0.082633643
3	15	1996	51983.8	12490445.48	0.067986227
3	15	1999	77335.6	16038614.81	0.051784999
3	15	2001	52781.06667	39039853.28	0.118379343
3	15	2003	101575.9	69524492.19	0.082087728
3	15	2005	94739.9	15107221.85	0.041026019
3	15	2007	84774.4	18242581.41	0.05038235
3	15	2009	78795.4	17071876.17	0.052437232
3	15	2011	63179.7	15471045.2	0.062256151
3	16	1984	4816.7	1833053.184	0.281085171
3	16	1987	5425.9	4642272.836	0.397094201
3	16	1990	14148.9	35417352.07	0.420615591
3	16	1993	18978.9	33645705.47	0.305628452
3	16	1996	24127.3	41592852.79	0.267301029
3	16	1999	37641.1	153140522.6	0.328762865
3	16	2001	24031.56667	27558377.41	0.218446322
3	16	2003	51915.4	1453296893	0.734312579
3	16	2005	39837.2	244273607.8	0.392328147
3	16	2007	29797.5	60382204.94	0.260780225
3	16	2009	9851.4	17671366.46	0.426714218
3	16	2011	100049.1	1191566283	0.345021307
3	17	1984	0	0	NA
3	17	1987	2.7	7.10683645	0.987357425
3	17	1990	2.6	4.1659494	0.785025289
3	17	1993	0	0	NA
3	17	1996	0.1	0.002846387	0.533515417
3	17	1999	6.9	22.46852508	0.686970664
3	17	2001	2.333333333	13.55555556	1.577908717
3	17	2003	4.8	15.8210772	0.828660786
3	17	2005	42.3	1334.359912	0.863567174
3	17	2007	5.7	15.72731489	0.695748751
3	17	2009	19.8	135.1210359	0.587078658
3	17	2011	0	0	NA
3	19	1984	0	0	NA
3	19	1987	0	0	NA
3	19	1990	0	0	NA
3	19	1993	20.1	403.601637	0.999494485
3	19	1996	0	0	NA
3	19	1999	0	0	NA
3	19	2001	0	0	NA
3	19	2003	0	0	NA
3	19	2005	0	0	NA
3	19	2007	0	0	NA
3	19	2009	0	0	NA
3	19	2011	0	0	NA
3	20	1984	0	0	NA
3	20	1987	165.8	13987.30874	0.713316967
3	20	1990	298	58795.8508	0.813686434
3	20	1993	0	0	NA
3	20	1996	928.5	821079.7333	0.975912225
3	20	1999	184.1	13504.46533	0.631226043
3	20	2001	344.6666667	334267.1111	1.677442105
3	20	2003	32.2	499.429644	0.694034863
3	20	2005	127.7	5262.23638	0.568060091
3	20	2007	236.3	15967.28034	0.534751182
3	20	2009	109.7	6550.361817	0.737778537
3	20	2011	88.1	5030.3577	0.805051244
3	21	1984	496.8	108917.0477	0.664303198
3	21	1987	259.8	23908.88915	0.595169343
3	21	1990	1876.3	3248101.251	0.960533466
3	21	1993	3562.9	7164712.35	0.75126948
3	21	1996	922.9	284610.367	0.578057063
3	21	1999	5569.7	30588830.53	0.99300088
3	21	2001	3351.833333	7189484.276	0.799956651
3	21	2003	386.6	113378.81	0.870971807
3	21	2005	0	0	NA
3	21	2007	474.8	119423.4	0.727836792
3	21	2009	43.3	817.862006	0.660468517
3	21	2011	0	0	NA
3	22	1984	478.1	53148.89994	0.482201322
3	22	1987	0	0	NA
3	22	1990	0	0	NA
3	22	1993	0	0	NA
3	22	1996	85.1	2802.798027	0.622108795
3	22	1999	12670.9	133664228	0.912431214
3	22	2001	4245.433333	69196625.34	1.959387946
3	22	2003	705.4	233767.7933	0.685420175
3	22	2005	1121.3	724518.092	0.759106649
3	22	2007	1095.9	268321.5366	0.472668694
3	22	2009	2481.1	2300710.333	0.611345476
3	22	2011	9111.5	64530638.62	0.881643687
1	2	1980	21.7	255.993372	0.737317644
1	2	1983	899.4	817.0028589	0.031780367
1	2	1986	112.3	4781.310605	0.615734832
1	2	1991	471.6	34598.45093	0.394416006
1	2	1994	193.1	16569.31964	0.666607298
1	2	1997	573.9	189999.7342	0.75952185
1	2	2000	1229.5	180724.6652	0.345764325
1	2	2002	530.9	28889.10409	0.320150594
1	2	2004	730	104679.8852	0.443209192
1	2	2006	5945.2	27857743.5	0.887782334
1	2	2010	560.1	36068.56673	0.33907742
1	2	2012	236.5	5711.499102	0.319553745
4	2	1980	13.1	172.612557	1.002916779
4	2	1983	235.9	19281.1004	0.588624002
4	2	1986	2812.2	7780200.76	0.991857309
4	2	1991	57.6	2567.07155	0.879622852
4	2	1994	98.8	2415.38808	0.497435201
4	2	1997	138.3	3990.14347	0.456743185
4	2	2000	55.4	390.934225	0.35689633
4	2	2002	96.9	1240.70154	0.363504577
4	2	2004	1358.6	1517026.03	0.906577437
4	2	2006	730.9	495804.505	0.963379216
4	2	2010	120	2846.76278	0.444625528
4	2	2012	134.6	5946.40424	0.572904396
2	2	2002	25.014341	200.466572	0.566020181
2	2	2004	13.210329	55.7580639	0.565249529
2	2	2008	10.034665	100.694501	0.999999997
2	2	2010	116.923111	10358.1717	0.870444711
2	2	2012	40.8991351	620.144104	0.608880668
1	5	1980	0	0	NA
1	5	1983	6.3	9.68320295	0.493934052
1	5	1986	0	0	NA
1	5	1991	22	145.0471275	0.547434149
1	5	1994	18.2	144.7149834	0.660975499
1	5	1997	67.9	893.051771	0.440117405
1	5	2000	25.4	232.9904814	0.600945895
1	5	2002	21.9	152.0203766	0.562997916
1	5	2004	495.9	154498.7761	0.792626181
1	5	2006	40.5	749.9466123	0.676176621
1	5	2010	22.1	67.89497655	0.372843475
1	5	2012	11	28.86218	0.488395755
4	5	1980	0	0	NA
4	5	1983	0	0	NA
4	5	1986	18.2	315.385216	0.97577408
4	5	1991	0	0	NA
4	5	1994	1.7	2.05850293	0.843969639
4	5	1997	0	0	NA
4	5	2000	0	0	NA
4	5	2002	2.2	4.9866166	1.015033342
4	5	2004	4166.7	17155555.6	0.994054421
4	5	2006	7.4	14.1019028	0.50746622
4	5	2010	0	0	NA
