#	Model	start	and	end	years													
1991	2020																	
#	Number	of	process	error	parameters													
#1																		
3																		
#	Number	of	catchability	parameters														
#1																		
3																		
###################################																		
#	Define	bottom	trawl	survey	data													
###################################																		
#	Number	of	bottom	trawl	survey	indices	fit	(i.e.,	regions/depth	strata)								
3																		
#	Process	error	index															
#1	1	1																
1	2	3																
#	Number	of	bottom	trawl	surveys	(years)												
12																		
#	Bottom	trawl	survey	likelihood	weight													
1																		
#	Bottom	trawl	survey	years														
	1991	1994	1997	2000	2002	2004	2006	2010	2012	2014	2016	2018						
#	Bottom	trawl	survey	biomass	(CGOA-EGOA-WGOA)													
77279.4	287593.8	343426.2																
274981.2	83783.6	327242.1																
140816.9	186812.9	134367.2			#W	343426.2	327242.1	134367.2	179679.8	253671.4	376414.3	101097.9	255419.4	133587.7	215234.7	156433.1	134765.5	
2962.1	330254.7	179679.8			#W	62610.60188	187126.113	75559.21239	91245.57968	80248.02825	89771.4801	35370.77241	148641.9645	37335.44744	61464.31856	87883.93374	45942.2785	
250699.4	331824.2	253671.4			#C	287593.8	83783.6	186812.9	330254.7	331824.2	269070.7	278035.7	198874.4	109130	204867.8	133021.8	26614.5	
511598.9	269070.7	376414.3			#C	49800.39983	40439.90963	66899.57245	112407.2037	78382.36636	92898.11442	67381.40879	55806.04003	29514.92603	102864.8211	72264.30128	7754.740977	
362514.8	278035.7	101097.9			#E	77279.4	274981.2	140816.9	2962.1	250699.4	511598.9	362514.8	475957.7	34158.8	303825.1	158710.6	193832.7	
475957.7	198874.4	255419.4			#E	63798.86927	113066.8845	99362.30375	1914.27103	125139.4785	140919.1812	190952.966	288024.3846	15373.06344	128901.3368	78890.36163	97622.61873	
34158.8	109130	133587.7																
303825.1	204867.8	215234.7																
158710.6	133021.8	156433.1																
193832.7	26614.5	134765.5																
#	Bottom	trawl	survey	biomass	SE	(CGOA-EGOA-WGOA)												
63798.86927	49800.39983	62610.60188																
113066.8845	40439.90963	187126.113																
99362.30375	66899.57245	75559.21239																
1914.27103	112407.2037	91245.57968																
125139.4785	78382.36636	80248.02825																
140919.1812	92898.11442	89771.4801																
190952.966	67381.40879	35370.77241																
288024.3846	55806.04003	148641.9645																
15373.06344	29514.92603	37335.44744																
128901.3368	102864.8211	61464.31856																
78890.36163	72264.30128	87883.93374																
97622.61873	7754.740977	45942.2785																
###################################																		
#	Define	longline	survey	data														
###################################																		
#	Number	of	longline	survey	indices	fit	(i.e.,	regions/depth	strata)									
3																		
#	Process	error	index	for	longline	survey												
#1	1	1																
1	2	3																
#	Number	of	longline	surveys	(years)													
12																		
#	CPUE	likelihood	weight														
1																		
#	CPUE	years															
2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019							
#	CPUE	RPW	(CGOA-EGOA-WGOA)														
793.1581177	353.1814893	335.9397547																
691.6517763	470.1087834	289.7987138																
612.8917276	405.708394	309.7861258																
366.63984	348.2502173	817.1454816																
196.0791037	322.0641199	210.2336808			#yr	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
230.0669848	320.4783182	162.0821802			#E	793.1581177	691.6517763	612.8917276	366.63984	196.0791037	230.0669848	299.1444011	402.5200433	301.9737273	221.2634829	156.0912364	168.6737609	
299.1444011	443.815586	173.6171189			#C	353.1814893	470.1087834	405.708394	348.2502173	322.0641199	320.4783182	443.815586	497.6103398	367.1380561	297.4643976	277.9858679	273.1227367	
402.5200433	497.6103398	333.5238849			#W	335.9397547	289.7987138	309.7861258	817.1454816	210.2336808	162.0821802	173.6171189	333.5238849	325.0238914	269.2540492	314.0802534	284.4258361	
301.9737273	367.1380561	325.0238914																
221.2634829	297.4643976	269.2540492																
156.0912364	277.9858679	314.0802534																
168.6737609	273.1227367	284.4258361																
#	CPUE	RPW	SE	(CGOA-EGOA-WGOA)		0.2											
158.6316235	70.63629785	67.18795095																
138.3303553	94.02175668	57.95974275																
122.5783455	81.1416788	61.95722516																
73.327968	69.65004347	163.4290963																
39.21582074	64.41282398	42.04673616																
46.01339695	64.09566363	32.41643604																
59.82888023	88.7631172	34.72342378																
80.50400865	99.52206797	66.70477698																
60.39474545	73.42761122	65.00477828																
44.25269658	59.49287952	53.85080984																
31.21824729	55.59717357	62.81605068																
33.73475217	54.62454735	56.88516723																
